Name, Identification Number,Country Code,Mutation,Disorder,Professional Exposure,Gender,Age,Age At Diagnosis,Age Of Death,Physician
Zora Estes,0028283122224,DO,GLC1D,Juvenile-Onset Dystonia;Baraitser-Winter Syndrome 1,,F,45,45,100,Maryln Galyean
Nena Bosworth,6824633831633,NF,EEF2,Status Asthmaticus;Nocturnal;Beta-2-Adrenoreceptor Agonist;Reduced Response To,,F,45,45,100,Elizabet Hafner
Liliana Mckean,3478337065058,JE,IL18RAP,Polyhydramnios;Priapism;Dysferlinopathy,,M,45,45,100,Adelaide Grizzell
Trinh Lacasse,4614676714343,BT,ASAP3,Actn2-Related Familial Hypertrophic Cardiomyopathy;Dilated;1Aa;Actn2-Related Dilated Cardiomyopathy,,F,45,45,45,Julianna Ewert
Von Scharf,0184778013645,JP,FGF3,Mucopolysaccharidosis Vi Myeloid Leukemia,Beryllium,F,45,45,100,Yuko Tapia
Jack Ruston,4682603716037,JO,AASTH30,Bainbridge-Ropers Syndrome,,M,45,45,100,Joan Everitt
Enid Lague,1158687002737,US,DEL1P36,Bile Duct Adenoma,,M,45,45,100,Tula Hanzlik
Tyron Leija,4347546356764,BW,DDX6P2,Alopecia-Mental Retardation Syndrome 3,,F,45,45,100,Cletus Fann
Darci Pleas,2185108385347,EC,EXPH5,Congenital Hydronephrosis;Nephrogenic Diabetes Insipidus;Autosomal,,F,45,45,100,Bernardine Stansfield
Mirna Cervantez,2507717121780,BH,CNOT8,Whim Syndrome,,F,45,45,100,Liza Aubin
Alethea Spruill,6846277124461,AS,CHST14,Hyperbiliverdinemia;Spontaneous Pneumothorax;Pneumothorax Show all 4,Methylene chloride,M,45,45,45,Luana Villano
Vikki Chaney,4707711281418,US,ATF5,Breast Cancer,Asphalt fumes,M,45,45,100,Beatrice Brice
Cordie Frederic,0842442716340,GP,C2CD3,Cerebellar Ataxia;Mental Retardation;And Dysequilibrium Syndrome 4;Dysequilibrium Syndrome Cerebellar Hypoplasia And Mental Retardation With Or Without Quadrupedal Locomotion 1,Hydrogen sulfide,F,45,45,100,Vinita Moran
Evelin Geer,0613060665227,RU,CD38,Rhabdomyosarcoma Shipyard Eye,Metals toxic,M,45,45,100,Lakiesha Via
Elisha ModlinKathleen Lavoie,5784614843106,BH,ENSG00000227993,C4B Deficiency;Sle Susceptibility;Complement Component 4;Partial Deficiency Of,Solvents,M,45,45,100,Veta Edinger
Simone Schumacher,3315313873687,US,HN1,Locked-In Syndrome;Agoraphobia Spondylosis,,F,45,45,100,Wyatt Lavery
Roxane Digby,6414075874688,PT,DDD3,Aortic Coarctation;Chagas Disease;Neuroepithelioma,Lead,F,45,45,100,Reggie Tibbetts
Kellee Bayley,5265541475384,PN,AVPR1A,Retinitis Pigmentosa 19;Cone-Rod Dystrophy 3;Scotoma,Diesel exhaust,M,45,45,100,Maryln Galyean
Vikki Lamere,8634862057846,FI,HAMP,Riley-Day Syndrome;Breast Cancer Susceptibility Hypertensive Nephropathy,,M,45,45,100,Reed Ehlert
Dionne Cook,0282386706586,FI,FOXC2,Parkinsonism With Spasticity;X-Linked;Mental Retardation;Syndromic;Hedera Type;Spasticity Show all 4,Chromium,M,45,45,100,Alanna Blanton
Adell Matheson,2651616366567,TK,GRIN1,Autism Susceptibility 8,Diesel exhaust,M,45,45,100,Francisco Papadopoulos
Luana Villano,5755402704532,AT,IGFBP5,Hepatocellular Carcinoma,Beryllium,M,45,45,100,Tristan Pannone
Fidel Breitenbach,6804762487706,US,GLYCAM1,Acropectorovertebral Dysplasia F Form,,M,45,45,100,Livia Kroon
Lauretta Depriest,4074432151224,US,AOCH,Central Nervous System Leukemia,Toluene,M,45,45,100,Boyce Filler
Melita Clark,7064513260520,US,ARCI7,Cat Eye Syndrome,,F,45,45,100,Felicia Macken
Echo Roeder,3466484021026,BF,CRYGB,Monilethrix,,M,45,45,100,Tammera Colwell
Alina Finneran,1322851635423,US,GANAB,Colorectal Adenocarcinoma,Diesel exhaust,M,45,45,45,Jeraldine Ipock
Luanne Turk,2035188772457,CF,GABRB1,Acute Mountain Sickness;Placenta Accreta;Polycystic Kidney Disease;Type 1,Hydrogen sulfide,F,45,45,100,Tiffany Wanamaker
Zoe Upshur,5186673238777,FI,CKMT2,Epididymitis,,M,45,45,100,Shana Mayoral
Ruthe Dazey,7501324721573,EE,GJE1,Malaria,Lead,F,45,45,100,Elizabet Hafner
Shameka Goudy,1142286887137,US,GLC1F,Hypertension;Dyscalculia;Cerebral Palsy;Spastic Quadriplegic;1,Hydrogen sulfide,F,45,45,45,Mauro Aliff
Rolande Troncoso,1632627758801,AN,CLCA4,Blepharitis,Asphalt fumes,F,45,45,100,Theodore Kincer
Corazon Warren,4107162756030,CH,ERGIC3,Hyalinosis;Inherited Systemic;Inhalation Anthrax;Juvenile Hyaline Fibromatosis Show all 4,,F,45,45,100,Selene Mcgavock
Joyce Harder,6806503027515,GS,EPHA2,Neisseria Meningitidis Infection;C6 Deficiency;Combined C6/c7 Deficiency,Methylene chloride,F,45,45,45,Mitchel Lemley
Thora Muncie,2860614653536,US,FAT2,Adiponectin;Serum Level Of;Qtl4 Systemic Lupus Erythematosus,Formaldehyde,F,45,45,100,Skye Verdin
Lexie Gillins,5863015184580,HT,LAMP1,Gonorrhea Genital Herpes,,F,45,45,100,Kenda Mcgowan
Joe Periera,7036375507453,YT,ITGA1,Balanitis Xerotica Obliterans;Balanitis Thymic Hyperplasia,,M,45,45,100,Genie Kolman
Marielle Pietrowski,5375872273362,KN,FOXP3,Aneurysm;Intracranial Berry;1 Aneurysm,,M,45,45,100,Sage Amavisca
Selene Mcgavock,8738288108628,US,B3GAT1,Bulimia Nervosa,Metals toxic,M,45,45,45,Adell Segarra
Earl Caddell,7811503507024,CA,HSD11B2,Laryngitis,,F,45,45,100,Miki Poindexter
Nu Clifford,1747173445405,MS,C8A,Malaria;Quebec Platelet Disorder;Colonic Disease Show all 4,Diesel exhaust,F,45,45,100,Johanna Cournoyer
Noemi Gayles,1066410332856,FI,ADRA2A,Cholangiolocellular Carcinoma;Dubin-Johnson Syndrome;Extrahepatic Cholestasis Show all 4,Beryllium,M,45,45,100,Aliza Pauli
Teresa Tinkham,5062741232301,US,AHDC1,Keloids,Solvents,M,45,45,100,Francisco Papadopoulos
Mirna Cervantez,0725568157678,PL,FZD7,Caudal Duplication;Hepatocellular Carcinoma;Somatic;Liver Cancer,,F,45,45,45,Fonda Millington
Damion Spang,3565743744717,BS,KIRREL3,Adult T-Cell Leukemia,Arsenic,F,45,45,100,Wyatt Lavery
Marybeth Patti,2834762248158,SV,HTATIP2,Congenital Anosmia,,F,45,45,100,Jacki Moss
Jon Hardaway,6410158514407,FI,FXR1,Jugular Foramen Meningioma;Dentatorubral-Pallidoluysian Atrophy;Nodal-Related Visceral Heterotaxy,Solvents,M,45,45,100,Ninfa Jeon
Kim Dang,0303276774187,FI,EVL,Erythroplakia Gallbladder Adenocarcinoma,,M,45,45,45,Cassy Stermer
Inez Huggins,7756035531764,FI,ESCO2,Cutaneous Lupus Erythematosus;Subacute Cutaneous Lupus Erythematosus;Glomerulonephritis,Chromium,M,45,45,45,Sage Amavisca
Mauro Aliff,7765048031404,FI,DNAL4,Visceral Myopathy;Megacystis Microcolon Intestinal Hypoperistalsis Syndrome;Myopathic Intestinal Pseudoobstruction Show all 4,,F,45,45,100,Douglas Mcelyea
Mirna Cervantez,5658362377356,RU,FGF19,Machado-Joseph Disease,,M,45,45,100,Lien Linder
Melina Botts,2084417100235,BJ,GATA6,Renal Dysplasia;Cystic Renal Dysplasia,Metals toxic,M,45,45,100,Fonda Millington
Ayana Krupa,5751016412431,FI,BBS10,Asthma,,F,45,45,100,Dianna Bolen
Edwin Boettger,3566856851352,SA,ENSG00000235708,Hereditary Spherocytosis;8P11.2 Deletion Syndrome;Ank1-Related Spherocytosis Show all 4,,F,45,45,100,Joyce Harder
Roxane Digby,6558018637581,US,CMD1F,Stomach Cancer;Glucocorticoid Resistance;Non-Hodgkin Lymphoma Show all 4,Formaldehyde,M,45,45,100,Marielle Pietrowski
Larraine Bouska,3477641214710,VG,CD69,Schizophrenia,,F,45,45,100,Willis Toone
Maximina Cefalu,4320732875127,ET,HTR1B,Bloom Syndrome;Rothmund-Thomson Syndrome;Werner Syndrome Show all 4,,F,45,45,100,Freda Roberts
Cruz Isenhour,0222214444472,FI,FAM84B,Periventricular Heterotopia With Microcephaly;Autosomal Recessive;Periventricular Nodular Heterotopia Show all 4,Arsenic,M,45,45,100,Dominick Bird
Miss Parra,3784701783021,US,GRK1,Post-Traumatic Stress Disorder;Carpal Tunnel Syndrome;Sudden Infant Death Syndrome,Beryllium,M,45,45,100,Cherri Simons
Bessie Manzanares,4767477051144,MD,KCNH2,Prostate Carcinoma In Situ Liver Cancer,Arsenic,M,45,45,45,Nathanial Mungin
Dominga Schuldt,8478211014201,RU,HYPLIP2,Multisystemic Smooth Muscle Dysfunction Syndrome;Aortic Aneurysm;Familial Thoracic 6;Moyamoya Disease 5,,F,45,45,100,Josefine Villeneuve
Nettie Raub,5557086648833,US,ISPD,Pancreatic Cancer 4;Hereditary Breast Ovarian Cancer;Fallopian Tube Cancer,,F,45,45,100,Kenda Mcgowan
Olympia Carmack,8035376283304,HN,EVL,Cholestasis;Progressive Familial Intrahepatic 2;Benign Recurrent Intrahepatic Cholestasis 2;Abcb11-Related Intrahepatic Cholestasis,Toluene,M,45,45,100,Lashawnda Reaux
Sharleen Caswell,2018338770736,US,KAZALD1,Pancreatic Cancer Prostate Cancer,,M,45,45,100,Denisha Snelgrove
Wanda Martines,5005550632313,FI,IBD19,Argininosuccinic Aciduria;Lysinuric Protein Intolerance;Hyperargininemia,,F,45,45,45,Amparo Hamp
Bobbi Wilmes,2731820515288,US,CASC5,Glycine N-Methyltransferase Deficiency;Malaria;Mucolipidosis Ii,Formaldehyde,M,45,45,100,Angelyn Romito
Jodie Graves,8631730636514,US,HOXB@,Amelogenesis Imperfecta Type;Iia4;Type Ib;Amelogenesis Imperfecta Show all 4,Arsenic,F,45,45,100,Elmo Quaranta
Aide Holmgren,1583413083346,SR,INHBB,Joubert Syndrome 17;Orofaciodigital Syndrome 6;C5Orf42-Related Joubert Syndrome,,F,45,45,100,Una Castiglione
Adolph Kerwin,0624376817067,CF,DER22T11-22,Periventricular Nodular Heterotopia 6 Periventricular Nodular Heterotopia,,F,45,45,100,Wendell Willaims
Olympia Carmack,3027054724474,FI,CALHM1,Asthma,,F,45,45,100,Iesha Mcmahon
Jacquelynn Rosendahl,0657026377164,NG,FBXO31,Heroin Dependence;Alexithymia;Dopamine Receptor D2;Reduced Brain Density Of,,M,45,45,45,Erick Bax
Venice Lakey,2272156106250,DE,ANKK1,Ehlers-Danlos Syndrome Dermatosparaxis Type Anosognosia,Toluene,F,45,45,100,Stephan Saleh
Ardella Truluck,0613513616680,FI,GRIA2,Follicular Lymphoma,,F,45,45,100,Lupita Peachey
Alethea Spruill,4412146066332,RW,HBEGF,Atrial Septal Defect 1,Methylene chloride,F,45,45,100,Cora Pond
Aliza Pauli,5764376201162,FI,ARR3,MHC,,M,45,45,100,Michael Sustaita
Prudence Mccorvey,1601806732477,LS,CLMP,Essential Hypertension Hypertension,Toluene,F,45,45,100,Roxana Monier
Katheryn Shatzer,3027758757656,CR,ADH1C,Mutism,Lead,F,45,45,100,Kenia Pahl
Gilberte Neville,2110215520553,RU,IFNA13,MHC,,M,45,45,100,Veta Edinger
Mirna Cervantez,3438161435405,JM,CDK2,Aneurysm;Familial Abdominal 3 Aneurysm,,F,45,45,100,Reed Ehlert
Johanna Cournoyer,1827817764843,MD,KCNJ18,Neuroblastoma,,M,45,45,100,Inell Dillman
Barton Snipes,1134548653157,CU,AASTH43,Smallpox,Diesel exhaust,F,45,45,100,Shalanda Stutz
Giuseppina Krell,1404612026457,SK,C1GALT1,Jacobsen Syndrome,,M,45,45,100,Tammera Schwarz
Deangelo Vestal,1474133040523,VC,DEL1Q41Q42,Prostate Carcinoma In Situ,Hydrogen sulfide,M,45,45,100,Lonna Shehane
Leigha Donnell,6653650647551,IT,HLF,Esophageal Squamous Cell Carcinoma,,F,45,45,100,Trudi Noonan
Ayana Krupa,0113801062150,AW,FAM21B,Prion Disease;Sporadic Breast Cancer;Ataxia Telangiectasia,,F,45,45,100,Chrystal Steenbergen
Alina Finneran,5540260527340,LI,IVNS1ABP,Jacobsen Syndrome,,F,45,45,100,Detra Melanson
Pamila Campfield,7412717767858,TG,ATOD1,Sensorineural Deafness With Mild Renal Dysfunction;Hypokalemia;Bartter Syndrome Type 4A,,F,45,45,45,Nancey Hieb
Chrystal Steenbergen,3526854813116,KP,CHST1,Obesity Bmiq4,,F,45,45,100,Tammera Schwarz
Jennie Matus,1605808614565,US,KIF23,C1Q Deficiency;Glomerulonephritis;Complement Component 4;Partial Deficiency Of,,F,45,45,100,Julianna Ewert
Dionne Cook,6577746080576,IS,COIL,Jugular Foramen Meningioma;Dentatorubral-Pallidoluysian Atrophy;Nodal-Related Visceral Heterotaxy,Formaldehyde,F,45,45,100,Taina Saxton
Beatriz Ranger,1756053711558,FI,HOXA10,Joubert Syndrome 17;Orofaciodigital Syndrome 6;C5Orf42-Related Joubert Syndrome,Toluene,M,45,45,45,Elisa Gose
Ebony Cobbs,7012185466251,HT,EIF2D,Attention Deficit Hyperactivity Disorder,,F,45,45,100,Carrie Klenk
Fonda Millington,2653042566815,KM,BMIQ7,Testicular Gonadoblastoma;Sickle Cell Disease Gonadoblastoma,,F,45,45,100,Rena HeggMelina Seiter
Lettie Bobadilla,3487157371702,LT,GFRA2,Alzheimer Disease 12 Alzheimers Disease,,M,45,45,100,Vada GlickErma Rybak
Frederic Hottle,8082063253677,FI,HS3ST6,Arrhythmogenic Right Ventricular Dysplasia 4 Arrhythmogenic Right Ventricular Cardiomyopathy,,F,45,45,100,Chrystal Steenbergen
Gena Wooding,8561136425428,IM,GOLIM4,Dermatitis;Atopic 3;Atopic Dermatitis Dermatitis,Hydrogen sulfide,F,45,45,100,Francisco Papadopoulos
Elmo Quaranta,1303737185511,GB,GINGF3,Prostate Cancer,,M,45,45,100,Lezlie Anderton
Tynisha Whittlesey,3231605458733,CX,ENSG00000236884,Multisystemic Smooth Muscle Dysfunction Syndrome;Aortic Aneurysm;Familial Thoracic 6;Moyamoya Disease 5,,M,45,45,100,Grisel Failla
Jack Hungerford,5884110335354,FI,HERC2P5,Sarcoidosis 2;Sarcoidosis 1,,M,45,45,100,Donnetta Doonan
Zoe Upshur,6018661510108,HU,ASIC5,2-Methylbutyryl-Coa Dehydrogenase Deficiency Isovaleric Acidemia,,M,45,45,100,Georgetta Chynoweth
Gia Hodak,5518528866081,GN,JAG1,Fetal Alcohol Syndrome,,F,45,45,45,Nettie Raub
Lidia Pilon,5613736815016,BF,FAAH,Oculofaciocardiodental Syndrome;Radiculomegaly Of Canine Teeth- Congenital Cataract;Bcor-Related Lenz Microphthalmia Syndrome Show all 4,,F,45,45,100,Shirleen Schrom
Freda Roberts,5210638226130,CD,AASTH25,Complement Component 8 Deficiency Type 2 Complement Component 5 Deficiency,,F,45,45,100,Tristan Pannone
Elmo Quaranta,6461148675320,US,HLA-DPA1,Bornholm Eye Disease,,M,45,45,45,Stanton Carlyle
Dinorah Mickey,2166016834722,AE,KRT83,Complication After Organ Transplantation;Lymphocele;Invasive Aspergillosis Show all 4,,M,45,45,100,Felecia Violette
Willy Horne,4015401242717,LK,ITGA2B,Pertussis;Cholera Squamous Cell Carcinoma Of The Head And Neck,Arsenic,F,45,45,100,Leonila Verrier
Garfield Kaspar,5183482155103,US,ITGB6,Obesity Bmiq7 Obesity,Formaldehyde,M,45,45,100,Reggie Conry
Luisa Bade,8023216831385,ER,FHIT,Brody Myopathy;Pseudomyotonia;Myotonic Dystrophy Type 1,,F,45,45,100,Emelina Kappler
Grisel Failla,4372647854480,US,ITGA3,Weill-Marchesani-Like Syndrome Weill-Marchesani Syndrome,,F,45,45,100,Cletus Fann
Misha Sanmiguel,7214470721401,FI,ABRA,Persistent Hyperplastic Primary Vitreous;Autosomal Recessive;Open-Angle Glaucoma Corneal Opacification And Other Ocular Anomalies,,M,45,45,100,Bertram Blumenfeld
Zora Estes,7647366828034,US,FZD8,Ectopia Lentis Et Pupillae;Adamtsl4-Related Eye Disorders;Isolated Autosomal Recessive,Formaldehyde,M,45,45,100,Antonetta Osier
Zora Estes,2540536130334,FI,FBN2,Spinocerebellar Ataxia Type 10;Digeorge Syndrome;Cleft Palate,,M,45,45,100,Carie Senecal
Theodore Kincer,0320805734615,TC,AIMP1,C1S Deficiency;Acquired Angioedema;Capillary Leak Syndrome,Metals toxic,F,45,45,100,Elisha ModlinKathleen Lavoie
Gilberte Neville,5050570284852,IT,ABHD11,Meckel Syndrome 10;B9D2-Related Meckel Syndrome;Meckel Syndrome 1 Show all 4,,F,45,45,100,Shelba Neely
Stefani Bachicha ,8154434244853,ID,ADCK4,Eccrine Porocarcinoma,Arsenic,F,45,45,100,Shari Amezquita
Olympia Swartwood,5557864771325,JE,CEP290,Colorectal Cancer,Toluene,M,45,45,45,Earl Caddell
Dale Mccorkle,3705302077347,SJ,ABO,Alzheimers Disease,,F,45,45,100,Aleshia Daw
Zoe Upshur,7787485544267,US,KMT2C,Neuroblastoma;Gastric Antral Vascular Ectasia Fanconis Anemia,Methylene chloride,F,45,45,100,Edgardo Karst
Liliana Mckean,1106257436107,FI,C4B,16q24.1,13-Butadiene,F,45,45,100,Gabriel Devall
Wyatt Lavery,5368585071701,PA,HLA-DQB3,Atrial Septal Defect 1,,F,45,45,100,Luisa Bade
Monroe Dewall,2522712074242,US,COPD5,Congenital Anosmia,,M,45,45,45,Corrina Alexandre
Irena Fabrizio,3633816688686,HU,DUSP6,Inflammatory Bowel Disease 10;Inflammatory Bowel Disease Crohns Disease,,M,45,45,100,Deadra Yao
Viviana Millner,2765754115558,US,DYX1C1-CCPG1,Deafness;Dystonia;And Cerebral Hypomyelination,Metals toxic,M,45,45,100,Lakiesha Tillmon
Zelda Hadaway,1375762663746,US,HS6ST1,Amelogenesis Imperfecta Type;Iia4;Type Ib;Amelogenesis Imperfecta Show all 4,,M,45,45,100,Sol Loper
Hayley Pickrell,5464441308073,FJ,CHD6,Age-Related Hearing Impairment 2,Chromium,M,45,45,45,Sol Loper
Liza Aubin,0371365551601,RU,AUTS6,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome With Focal Segmental Hyalinosis,Toluene,M,45,45,45,Brenda RubinoJona Goldsmith
Ami Lampkin,0375217301683,LA,ESRRA,Retinal Vasculitis Rheumatic Disease,,F,45,45,100,Gracie Test
Rochell Sandor,7802502645303,MU,FOXO4,Colorectal Adenocarcinoma,Asphalt fumes,M,45,45,100,Estell Heidrick
Florencio Poudrier,5630480424860,EC,HMSN5,Rheumatoid Arthritis;Hiv-1;West Nile Encephalitis Show all 4,Chromium,M,45,45,100,Olympia Carmack
Lien Linder,0033644618726,MA,IVNS1ABP,Scurvy;Pigmented Villonodular Synovitis Villonodular Synovitis,Asphalt fumes,M,45,45,45,Bernardine Stansfield
Shavon Muma,4855535543673,FI,JST,Osteoporosis,Solvents,F,45,45,100,Isiah Campa
Mindy Ringdahl,7006634748315,US,COPD18,Nemaline Myopathy 9,Solvents,M,45,45,100,Rolande Troncoso
Kaycee Foye,0454224762686,FI,HAVCR2,Prostate Cancer Breast Adenocarcinoma,,F,45,45,100,Delmy Squillace
Lashaunda Akin,6813635167572,SL,ADCK3,Breast Cancer,Diesel exhaust,M,45,45,100,Carie Senecal
Larraine Bouska,6388365316183,RU,CUL2,Cat Eye Syndrome Talipes Equinovarus,,F,45,45,100,Miss Parra
Rico Kyllonen,1441632713365,IM,CDK5RAP1,Glaucoma 1;Open Angle;F Open-Angle Glaucoma,,M,45,45,45,Winnie Elliston
Brittni Carlsen,4224057227835,MY,AK7,Angelman Syndrome Prader-Willi Syndrome,,M,45,45,100,Layne Garica
Lezlie Anderton,5877105014841,FI,KRT1,Myelodysplastic Syndrome;Somatic;C-Like Syndrome;Myelodysplastic Syndromes,,F,45,45,100,Jere Sakata
Martine Modeste,3510133766011,RS,GP2,Renal Tubular Acidosis;Distal;Autosomal Recessive;Renal Tubular Acidosis With Progressive Nerve Deafness,,M,45,45,45,Corazon Warren
Donald Silvia,2133347210434,BL,FAME4,Inflammatory Bowel Disease 13;Acute Non Lymphoblastic Leukemia;Paralytic Ileus,,F,45,45,100,Wanda Martines
Earlie Friar,1287718884600,US,FUT6,Developmental Coordination Disorder Neuroma,Chromium,F,45,45,100,Detra Melanson
Reed Ehlert,1077382230207,FI,BRD7,Aortic Valve Stenosis Hiv-1,Metals toxic,F,45,45,100,Rochell Sandor
Morton Salazar,2381144346331,NZ,DST,Exstrophy Of The Bladder,Lead,F,45,45,100,Nathanial Mungin
Yuri Soares,3337881235625,FI,BTG1,Limb Ischemia;Critical Limb Ischemia Type 2 Diabetes Mellitus,,F,45,45,100,Isabelle Wassink
Wyatt Lavery,2181200154105,JE,CDK5R1,Down Syndrome,Formaldehyde,M,45,45,100,Angelyn Romito
Kenia Pahl,0513443685355,BM,ADAM21P1,Hypoxia,Chromium,F,45,45,100,Rosio Sivils
Reggie Conry,6705612166136,RU,ENSG00000224168,Ehlers-Danlos Syndrome;Progeroid Type;1 Reunion Islands Larsen Syndrome,,F,45,45,100,Venice Lakey
Luanne Turk,0228858601872,US,COPD19,Abdominal Aortic Aneurysm;Spina Bifida Vascular Disease,,M,45,45,45,Jon Hardaway
Estela Stricker,5874281743766,UY,AVPR1A,Neutral Lipid Storage Disease;Lipid Storage Disease Ectropion,,F,45,45,100,Wynona Doby
Philip Maclin,7313018056826,FI,BRCA3,Fanconi Anemia;Complementation Group D1;Breast-Ovarian Cancer;Familial;2;Glioblastoma 38,,M,45,45,100,Marguerite Taliaferro
Marcelene Dials,3565303826584,FI,HTRA4,Lung Cancer Patent Ductus Arteriosus,Metals toxic,F,45,45,100,Marlys Brevard
Dominick Bird,3161851321487,FI,CRYGS,Angio Serpiginosum,,M,45,45,100,Keeley Gorney
Claire Urias,8483377655174,US,CFLAR,Melanoma Skin Conditions,,M,45,45,100,Jess Lundin
Abigail Hazan,8382843776133,MM,CSF2RA,Hyperleucine-Isoleucinemia Hypervalinemia Or Hyperleucine-Isoleucinemia,,F,45,45,100,Fonda Millington
Al Hardaway,7513728177640,US,GLS,Breast Cancer;Early-Onset;Fanconi Anemia;Complementation Group J Breast Cancer,Solvents,M,45,45,45,Elfreda Ryan
Tyron Hakes,6601224053503,RU,AQP9,Alzheimers Disease Alzheimer Disease Type 5,Beryllium,F,45,45,100,Emelina Kappler
Courtney Capozzoli,5171140600664,MY,CATSPER2P1,Urinary Tract Obstruction;Ureteral Disease;Collecting Duct Carcinoma,Diesel exhaust,M,45,45,100,Lynell Degen
Francina Fresquez,2552384132832,SV,IDDM4,Mitochondrial Complex V Deficiency;Nuclear Type 1;Mitochondrial Complex V Deficiency Mitochondrial Complex V Deficiency;Nuclear Type 3,,M,45,45,100,Donald Silvia
Modesto Lonergan,4340531136201,US,ARL6,Alopecia-Mental Retardation Syndrome 3,,F,45,45,100,Terrence Poulson
Jacquelynn Rosendahl,2331086647470,US,FOXC1,Spinocerebellar Ataxia Type10;Spinocerebellar Ataxia Type 10;Ataxia Show all 4,,F,45,45,100,Otelia Vreeland
Noelle Goley,1356473881711,MP,CLNK,Liver Cancer Noma,Methylene chloride,M,45,45,100,Margherita Ramsden
Adelaide Grizzell,7678371803523,RU,BBS12,Colonic Benign Neoplasm;Laryngeal Squamous Cell Carcinoma;Laryngeal Carcinoma,Beryllium,M,45,45,100,Bertram Blumenfeld
Teresa Tinkham,1335056282754,US,JAK3,Retinitis Pigmentosa 2 Retinitis Pigmentosa,Beryllium,F,45,45,100,Lonna Shehane
Al Hardaway,1500615100215,UM,ARL2BP,Atrial Fibrillation;Familial;5,Beryllium,M,45,45,100,Noelia Quint
Jacquiline Brite,0412622438434,US,LCE1C,Mosaic Variegated Aneuploidy Syndrome 1,,M,45,45,100,Nyla Rolle
Jennie Matus,4453108064612,FI,FZD3,Papillary Thyroid Carcinoma,,M,45,45,100,Phillis SolizCrissy Mcclinton
Verdell Bulman,8148850704217,TN,CCDC151,Borjeson-Forssman-Lehmann Syndrome,Arsenic,F,45,45,100,Rena HeggMelina Seiter
Ardella Truluck,0253305380462,US,IL15RA,Melanoma Mucopolysaccharidosis Iii,,F,45,45,100,Candi Rux
Sage Amavisca,3386106431831,BH,CSHL1,Myelodysplastic Syndrome;Somatic;C-Like Syndrome;Myelodysplastic Syndromes,,F,45,45,100,Giuseppina Krell
Zane Mellin,4462515133780,US,IMMP2L,Craniometaphyseal Dysplasia;Autosomal Dominant;Chondrocalcinosis 2,,F,45,45,100,Ilona Alegria
Georgann Picard,7148832885861,TN,IDDM18,Calciphylaxis;Orofacial Cleft11;Microphthalmia Syndromic 6,Formaldehyde,F,45,45,100,Tamika Liss
Winnie Elliston,8883116532502,BJ,CARD9,Bulimia Nervosa,Formaldehyde,F,45,45,100,Kenyatta Marksberry
Lien Linder,3580738135434,PN,CEP85L,Arrhythmogenic Right Ventricular Dysplasia 6,Arsenic,M,45,45,100,Jamie Glick
Gwen Chiou,0623522263370,KZ,KCTD10,Malt Lymphoma,,F,45,45,100,Simone Schumacher
Jarred Dory,0528670477406,TF,ALDOC,Epididymitis,,F,45,45,100,Janey Hilgefort
Paulene Vandervoort,4825301014718,QA,LCE3B,Monilethrix,,F,45,45,45,Jack Hungerford
Dominick Bird,1684748484372,TR,ASNS,Limb Ischemia;Critical Limb Ischemia Type 2 Diabetes Mellitus,Arsenic,F,45,45,100,Lashawnda Reaux
