Name, Identification Number,Country Code,Mutation,Locus,Disorder,Professional Exposure,Professional Exposure Time, Gender,Age,Age At Diagnosis,Age Of Death,Physician
Devorah Fregoso,7182551173035,BV,HOXA11,Breast Cancer Susceptibility Chronic Myeloid Leukemia,10q25,Methylene chloride,45,M,45,45,100,Maryln Galyean
Jacki Moss,5816703168450,GB,DPP9,Bardet-Biedl Syndrome,1q41,,45,F,45,45,100,Kaycee Foye
Ulrike Donaghy,4017218432516,MY,ENSG00000227122,Esophageal Cancer Esophageal Squamous Cell Carcinoma,17p11.2,,45,F,45,45,100,Cesar Tesar
Rosella Won,2553064010288,UG,DUPXP11.23P11.22,Axonal,17q21.31,Metals toxic,45,M,45,45,45,Carletta Houde
Joan Everitt,0438668757713,SD,COPD7,Centronuclear Myopathy 2,6p22.2,,45,F,45,45,100,Shalanda Stutz
Rosella Weissman,6800005706208,DO,FBXO38,Colorectal Cancer,4q31.3,Formaldehyde,45,F,45,45,45,Winnie Elliston
Carmine Shanahan,8651401137681,SG,ABHD12,Parkinson Disease Type 9,,Solvents,45,M,45,45,100,Lilla Schreffler
Stephan Saleh,7722104646700,DO,GBP3,Orofaciodigital Syndrome 6,Xq23-q27.3,,45,F,45,45,45,Brianna Keltz
Lori Mose,4471572856540,NL,EPHA5,Peliosis Hepatis,18p11.32,Chromium,45,F,45,45,45,Shavon Muma
Delisa Sorenson,5446607755664,PW,FOXC1,Breast Cancer,11p11.2,13-Butadiene,45,F,45,45,100,Sol Loper
Yung Fitts,4232135458513,BE,FAF2,Congenital Disorder Of Glycosylation Type 2D,HSCHR6_MHC_COXp21.32,,45,M,45,45,100,Estell Heidrick
Olympia Carmack,0656312008533,IE,DEAF1,Neurosarcoidosis1,14q24.3,Asphalt fumes,45,F,45,45,100,Maryln Galyean
Katheryn Shatzer,7356451573063,AD,ANXA8,Acquired Immunodeficiency Syndrome,7q36.1,Solvents,45,M,45,45,100,Leena Harm
Jill Hinesley,6071028576367,TV,ITGB3,Morbid Obesity,12p13.1,,45,F,45,45,100,Cheryl Lyvers
Yuko Tapia,7730006256871,BL,BMS1,Breast Adenoma,16q24.1,Solvents,45,M,45,45,100,Herb Leland
Arminda Manley,7348610787425,CV,BLK,Atopic 1,20q13.13,13-Butadiene,45,M,45,45,100,Vinita Moran
Jon Hardaway,0767032212626,TC,ELAVL2,Alzheimer Disease-14 Alzheimers Disease,10p14,,45,M,45,45,100,Enola Fleenor
Enid Lague,6504058516826,AG,EMWX,Nicotine Dependence,19q13.2,Solvents,45,M,45,45,100,Page Blanke
Noelia Quint,5242526571065,BI,AGK,Bmpr1A-Related Juvenile Polyposis,1p36.31-p36.13,Lead,45,M,45,45,100,Shana Mayoral
Irena Fabrizio,0146050433025,AI,BACE1-AS,Ischemia,14q32.33,Arsenic,45,F,45,45,100,Magda Edmund
Carleen Hough,8070836036542,UZ,CKAP4,Leukemia,2q35,,45,F,45,45,100,Liliana Mckean
Maisie Matinez,3508133230023,TM,ERAP1,Acute Lymphocytic Leukemia,7q22.1,,45,M,45,45,100,Kenda Mcgowan
Garfield Tooker,6387081200601,EH,CD9,Anisometropia Amblyopia,1pter-p36.1,,45,M,45,45,100,Liza Sweatman
Al Agnew,2360686485310,KM,BAZ1A,Lipid Storage Disease Ectropion,17q25.1,,45,M,45,45,45,Takako Mims
Adrianne Krom,0536771388313,HM,GLRX,Chronic Myeloid Leukemia,7q21.3,,45,F,45,45,100,Salvatore Pulsifer
Lori Mose,3783153540464,BI,EFTUD1,Parkinsons Disease,17q21.31,,45,M,45,45,100,Luetta Ta
Candace Prescott,0100173133300,BS,ENSG00000227231,Alzheimers Disease Bipolar Disorder,12q13.13,Methylene chloride,45,F,45,45,100,Racquel Dragoo
Rafael Alderson,5613873607540,NC,IFT43,Combined Malonic And Methylmalonic Aciduria Methylmalonic Acidemia,9q31.3,Arsenic,45,F,45,45,100,Lorean Hazelton
Wyatt Lavery,0338834014428,IE,IL12RB2,1 Reunion Islands Larsen Syndrome,17q21.2,,45,M,45,45,100,Reggie Conry
Tynisha Whittlesey,2630108855528,LK,BPI,Morgagni Cataract,3p22,Diesel exhaust,45,F,45,45,100,Stefani Bachicha 
Todd Stannard,8073304576322,BR,ACADVL,Prion Disease,7q21.2,13-Butadiene,45,F,45,45,100,Al Brabham
Rafael Alderson,2727806424225,KE,LEAP2,Gastrointestinal Lymphoma,11q22.3,Beryllium,45,M,45,45,100,Mauro Aliff
Layne Garica,3383780616730,GD,HIGD1A,Human T-Cell Leukemia Virus Type 1,19p13.2,,45,F,45,45,100,Misha Sanmiguel
Amparo Hamp,5071773000758,PS,ADAMTS1,Keratoconus,12q22,Diesel exhaust,45,M,45,45,100,Lyda Hardegree
Kathaleen Soderquist,4626465461635,GB,IL1B,Vaccinia,22q11.23,,45,F,45,45,100,Ismael Mcfaul
Bernardo Beno,8375351701142,VU,HEMGN,Hiv-1,19q13.2,Arsenic,45,F,45,45,45,Aja Deane
Candace Prescott,5343808152152,IE,ARVCF,Intrahepatic Cholangiocarcinoma,10q24.32,,45,F,45,45,45,Lesia Messing
Orville Stainback,8687781755880,CO,FHL5,Aortic Valve Stenosis Hiv-1,18q11.2,Metals toxic,45,M,45,45,100,Wynona Doby
Luisa Spainhour,8680023006414,LB,GLM6,Cerebral Lipidosis,17q12,,45,F,45,45,100,Cassi Camacho
Virgina Line,7144488431286,AD,C4BPA,Adiponectin Deficiency,11q13.1,Hydrogen sulfide,45,M,45,45,100,Liza Sweatman
Terrence Poulson,6608000501230,PL,JKAMP,Mucopolysaccharidosis Vi Myeloid Leukemia,6p23-p22.3,Beryllium,45,F,45,45,100,Diann Schuch
Lidia Pilon,8731700401045,SM,EGOT,Qtl4 Systemic Lupus Erythematosus,13q34-qter,Methylene chloride,45,M,45,45,100,Douglas Mcelyea
Lyman Slavin,7822060006072,ZM,COPD13,Acute Non Lymphoblastic Leukemia,4q31.3,Asphalt fumes,45,F,45,45,45,Gabriel Devall
Nena Bosworth,8057654108322,TT,ANIB10,Actinomycosis Azoospermia,10q26.13,,45,M,45,45,100,Abigail Hazan
Elfreda Ryan,6346434621613,KE,IGHG2,Vitamin B6 Plasma Level Qtl 1,8q21.3,,45,F,45,45,45,Dusti Molinari
Tamika Liss,8274113056003,AO,C21orf33,Chronic Lymphocytic Leukemia,17q21-q22,Solvents,45,M,45,45,100,Ute Bufkin
Luisa Bade,2025773214681,KI,CSE,Biotin Deficiency,14q22.1,Lead,45,F,45,45,100,Violeta Allsup
Jodie Graves,8583473872180,CU,CLLU1OS,Spindle Cell Hemangioma Brain Cancer,11q13.3,,45,F,45,45,100,Misha Schindler
Marlys Brevard,7374302047712,RW,ASRT3,Fatty Acid Oxidation Disorders Hypoglycemia,6p12.3,,45,M,45,45,45,Brianna Keltz
Nena Bosworth,6571312806881,NR,CTD,Pancreatic Cancer,12q13.13,Diesel exhaust,45,F,45,45,100,Margarett Eastland
Debroah Ellzey,0740880843464,CY,AASTH22,Phlebotomus Fever,14q32.2,Hydrogen sulfide,45,F,45,45,100,Jennie Matus
Melida Donaldson,6182007036770,BY,IL4I1,Myofibrillar,6q22.1,Chromium,45,M,45,45,100,Kendall Schutt
Jacquelynn Rosendahl,2801433334403,FO,ANC,Spinocerebellar Ataxia 31 Ataxia,2q31.1,Chromium,45,F,45,45,100,Jacquiline Brite
Leonie Flach,3488041535483,AI,IL1B,Epidemic Pleurodynia,16p12.1,,45,M,45,45,100,Grisel Failla
Keitha Hagaman,3755464608043,ML,HADHA,Machado-Joseph Disease Type 3,1q41,Chromium,45,M,45,45,100,Jeremy Biel
Glenna Schrimsher,5347032736477,MO,GET4,Cataract 12,5q11.1,,45,M,45,45,100,Young Meriwether
Ronna Tickle,5174583373450,AM,CTRCT27,Lipid Metabolism Disorder,19p13.2,Diesel exhaust,45,F,45,45,100,Virgina Line
Leland Catalan,5743754883455,SR,CMDR,Osteosarcoma,7q22.1,Lead,45,F,45,45,100,Ruthe Dazey
Courtney Capozzoli,0516202280883,HT,DGCR,Obesity,4q24-q28,,45,F,45,45,100,Cassi Wieder
Fabiola Hust,5504670717348,GT,BMPR1A,Developmental Coordination Disorder Neuroma,14q21.3,Toluene,45,F,45,45,100,Faustino Coury
Cora Pond,6778382156601,GQ,GNG8,Posterior Polar Cataract,3q13.31,Formaldehyde,45,F,45,45,100,Barton Snipes
Gerard Rodriquez,0824625606116,NO,CSF2RA,Brachydactyly Type A1,8p21.3,13-Butadiene,45,M,45,45,100,Bennie Bolles
Noemi Gayles,0104323213072,ES,KIF11,Bipolar I Disorder Mood Disorder,1q25.3,Methylene chloride,45,M,45,45,100,Liza Sweatman
Pearle Basch,6451208241843,BD,ABCB7,Klippel-Feil Syndrome,19q13.31,,45,M,45,45,45,Fabiola Hust
Lupita Peachey,7581571173148,PE,DCTN1,Skeletal Muscle Regeneration,6q14.1,Solvents,45,M,45,45,100,Noreen Sluss
Wilma Terrones,1110878682553,BH,C7,Autosomal Dominant 14,4q31,Methylene chloride,45,M,45,45,100,Genna Worster
Carie Senecal,1757476640652,GY,GP6,Sickle Cell Disease Gonadoblastoma,3p14.2,13-Butadiene,45,F,45,45,100,Rico Kyllonen
Suzanna Amar,3867127485043,RU,CDK4,Joubert Syndrome And Related Disorders,9q31.1,,45,F,45,45,100,Lashaunda Akin
Phillis SolizCrissy Mcclinton,4308208582761,SB,KLB,Non-Hodgkin Lymphoma Show all 4,9q22.32,,45,F,45,45,100,Dominica Eldred
Abigail Hazan,5288855861264,TT,AP4E1,Breast And Colorectal Cancer,8p21.1,Diesel exhaust,45,F,45,45,100,Guillermo Seymore
Melina Botts,7468000841105,JM,EXTL3,Reduced,5p13.2,,45,M,45,45,100,Rosalie Sellers
Yuko Tapia,2123017247855,MS,FOXP2,Juvenile Nasopharyngeal Angiofibroma,20q11.21,,45,M,45,45,100,Bronwyn Jarvie
Noelle Goley,8267871554434,CO,CELIAC12,Gallbladder Lymphoma,17q25.3,,45,M,45,45,100,Nakia Amaro
Jeraldine Ipock,4838275022765,NR,HBFQTL2,Tetanus Neonatorum,14q11.2,Chromium,45,F,45,45,100,Edgardo Karst
Roosevelt Bilski,0300517852277,GF,ANIB4,Breast And Colorectal Cancer Colorectal Cancer,20q13,Diesel exhaust,45,M,45,45,100,Alejandra Walkes
Joellen Viloria,6443722336403,IS,CHST14,Extrahepatic Cholestasis Show all 4,2p25.3,Solvents,45,F,45,45,45,Corinne Garzon
Jacquiline Brite,4031860208038,PL,C9orf3,Webb-Dattani Syndrome Hypoxia,5q22.1,,45,F,45,45,100,Luanne Creamer
Delorse Holquin,1027721166168,GQ,KAT6B,Hypertension,10q22.1,,45,M,45,45,100,Shameka Goudy
Noelle Goley,7546431200003,WS,FLNA,Lung Cancer Prostate Cancer,15q22.2,,45,M,45,45,100,Gracie Test
Leonila Verrier,4662476631767,NC,COPS6,Distal Hereditary Motor Neuropathy,3q21.1,Methylene chloride,45,F,45,45,100,Willis Toone
Lewis Agrawal,1777413068425,AN,DRD5,Familial,Xq24,13-Butadiene,45,M,45,45,100,Willena Petroski
Carmine Shanahan,6026217120286,AW,ALPP,Malt Lymphoma,3q13.33,,45,F,45,45,100,Bronwyn Jarvie
Dominica Eldred,4337058202210,TV,GAS1,Acute Myeloid Leukemia,11q23.3,Asphalt fumes,45,M,45,45,45,Mozella Wan
Margherita Ramsden,3731516681778,CM,GRPR,Breast Cancer Melanoma,20p11.21,Lead,45,M,45,45,100,Thora Krikorian
Ilona Alegria,3610882330054,KG,LARS,Ankyrin-B-Related,8p23.1,,45,M,45,45,100,Philip Maclin
Willy Horne,5224130387864,IQ,ADAM7,Obesity,2q35,,45,M,45,45,100,Dominick Bird
Martine Modeste,4513222387217,SV,H6PD,Fatty Acid Oxidation Disorders Temporal Lobe Epilepsy,9q31.1,Metals toxic,45,M,45,45,100,Wyatt Lavery
Liliana Mckean,5267053804080,CX,GAA,Hypertension,17q23.3,,45,F,45,45,100,Pamala Delmont
Delorse Holquin,7047345511351,GS,COIL,Nor Polyagglutination Syndrome Caffey Disease,7q11.23,,45,M,45,45,100,Rico Kyllonen
Abe Miranda,0380836354154,BY,C7orf66,Dilated,13q34,Solvents,45,F,45,45,100,Thresa Strey
Elisha ModlinKathleen Lavoie,6375452752208,RE,AUTS11,Multiple Mitochondrial Dysfunctions Syndrome 2,Xp22.2,Arsenic,45,M,45,45,100,Audra Spore
Cesar Tesar,1733165530745,MR,ALG1,Velocardiofacial Syndrome Alzheimers Disease,11q14.1,,45,F,45,45,100,Keeley Gorney
Adelaide Grizzell,8230445174022,MT,BCL2,Malaria,17p13.2,Diesel exhaust,45,M,45,45,100,Asa Rhymes
Stephan Saleh,3432854772155,US,ETM1,Miyoshi Muscular Dystrophy 3,15q11.2,,45,M,45,45,100,Mirna Cervantez
Aisha Champine,1830112543440,UG,KCNMB1,Bardet-Biedl Syndrome,1q21.3,Chromium,45,M,45,45,100,Lilla Schreffler
Palmer Blow,2631701348224,AQ,C4orf6,Infantile Convulsions And Paroxysmal Choreoathetosis,19q13.2,Lead,45,F,45,45,100,Prudence Mccorvey
Fabiola Hust,2401306263667,NC,ERCC4,Systemic Lupus Erythematosus,1p35.1,,45,F,45,45,45,Boyce Filler
Lakiesha Tillmon,0353028337414,KH,AICDA,Adenoma,12p12.1,,45,F,45,45,45,Wendell Willaims
Annmarie Sublett,1850332682060,MQ,IBD6,Arteritic Anterior Ischemic Optic Neuropathy,12q21.2,13-Butadiene,45,M,45,45,100,Bronwyn Jarvie
Isabelle Wassink,3638774462580,IN,GFRA1,Colon Adenocarcinoma Coronary Restenosis,Xp22,Methylene chloride,45,M,45,45,100,Page Blanke
Todd Stannard,3077425415083,NU,GINGF2,C1S Deficiency,20p12.1,,45,F,45,45,100,Tynisha Whittlesey
Fabiola Hust,5536672246307,KY,GUK1,Erythropoietic Protoporphyria Pancreatic Cancer,7q34,Methylene chloride,45,M,45,45,100,Nettie Raub
Page Blanke,2662031247166,CA,AC079586.1,Cystoid Macular Dystrophy,Xq28,Toluene,45,F,45,45,100,Marybeth Patti
Bernardo Beno,0144881072154,TH,GRD1,Colonic Pseudo-Obstruction,4q13.3,Diesel exhaust,45,M,45,45,100,Detra Melanson
Althea Larsen,4010110610511,MV,DFNB93,Biotin Deficiency,3q28,Solvents,45,M,45,45,100,Estela Stricker
Cruz Isenhour,3835031600382,MV,ERBB3,Polyneuropathy,12q24.11,13-Butadiene,45,M,45,45,100,Lonna Shehane
Marlys Brevard,8742408834832,TJ,IDDM3,Nonalcoholic Steatohepatitis Obesity,19q13.4,Arsenic,45,M,45,45,100,Mariette Zeolla
Nu Clifford,6600224052531,NE,ITGB2,Body Dysmorphic Disorder,6q12,,45,F,45,45,100,Lexie Gillins
Mozella Wan,3008458662838,HR,IL18,Benign Recurrent Intrahepatic Cholestasis,Xp11.3,Toluene,45,M,45,45,100,Jamie Glick
Clarine Crites,1468441380716,MO,HOXB5,Lung Cancer,14q11-q22,,45,M,45,45,100,Carter Bergman
Genaro Stang,6770676172646,IM,CHEK1,Mandibuloacral Dysplasia,1p36.31,Hydrogen sulfide,45,M,45,45,100,Rochell Sandor
Reggie Conry,5653004278842,JE,COMP,Small Intestinal Sarcoma Oral Cancer,7p15.3,Diesel exhaust,45,M,45,45,100,Louetta Bonds
Novella Roby,7160334400471,LC,FSCN2,Meckel Syndrome 1,1p35.1,,45,M,45,45,45,Veta Edinger
Janey Hilgefort,3261414568722,SN,EPB42,Visual Epilepsy,9p22,,45,M,45,45,100,Celestine Bird
Doreen Mcbean,2050706475053,GM,ACTL7B,Melanoma,19q13.2,,45,F,45,45,100,Bronwyn Jarvie
Clora Faulk,4732603801402,SI,CCV,Bardet-Biedl Syndrome 2,14q24.3-q31.1,,45,F,45,45,45,Freda Roberts
Carrie Klenk,5156555414714,KR,IBD8,Inflammatory Bowel Disease 13,10q26.3,13-Butadiene,45,M,45,45,100,Melida Donaldson
Adell Segarra,0115330557448,VG,LARP7,Acropectoral Syndrome,2q31.1,,45,F,45,45,100,Dionne Cook
Carie Senecal,6862463255611,ZM,GDNF,Ureterolithiasis Canavan Disease,2q31.1,Toluene,45,M,45,45,45,Maribel Parras
Gaylene Mcneese,3157116408732,DE,DMRT1,Pre-Eclampsia,11p12,,45,M,45,45,100,Takako Mims
Cassy Stermer,5747511123352,VI,IRF6,Progressive,8p21.1,Diesel exhaust,45,M,45,45,100,Una Castiglione
Faustino Coury,0867724283070,UA,AASTH51,Dyserythropoietic Anemia,4q35.2,,45,M,45,45,100,Francisco Papadopoulos
Valerie Boykins,1021018573602,ET,GDF1,Breast Cancer Venezuelan Equine Encephalitis,6p21.1,,45,M,45,45,100,Al Brabham
Pamila Campfield,7482572767385,IR,CKB,Microphthalmia With Linear Skin Defects Syndrome,4p16.3,Diesel exhaust,45,M,45,45,100,Felice Ohern
Janel Veatch,1282300820848,BO,GMPPA,Multiple Myeloma,1p32.2,Beryllium,45,M,45,45,100,Reed Ehlert
Stanton Carlyle,4678337155413,AZ,AASTH54,Bardet-Biedl Syndrome,16q24.3,,45,F,45,45,45,Michael Sustaita
Wynona Doby,4527540135186,TW,IL3,Pancreatic Ductal Adenocarcinoma,1p22.1,,45,F,45,45,100,Aja Deane
Foster Hickox,7057312371007,NZ,KLHL2,Cannabis Abuse,22q12.3,,45,F,45,45,100,Janet Gaillard
Shameka Goudy,4823271060247,HT,FOXP1,Breast Cancer,14q23,,45,F,45,45,45,Margeret Heims
Herb Leland,5254223718780,MM,DELXP22.11,Alopecia Areata 2 Alopecia,12q15,,45,M,45,45,100,Dale Mccorkle
Francisco Papadopoulos,8336177635631,BR,HBB,Breast Cancer Susceptibility Hypertensive Nephropathy,16q23.2,,45,M,45,45,100,Ron Shouse
Courtney Capozzoli,1721560783080,VU,CTRC,3 Aneurysm,11p12-q12.1,Chromium,45,F,45,45,100,Melida Donaldson
Phillis SolizCrissy Mcclinton,7368172443085,NO,CNR1,Nor Polyagglutination Syndrome Caffey Disease,6p21.33,,45,F,45,45,100,Maisie Matinez
Anjelica Danford,1042270364753,TR,IDDM8,Down Syndrome,8q21.13,,45,M,45,45,100,Donald Silvia
Philip Maclin,6708270433046,AZ,C19orf80,Retinitis Pigmentosa 55,2p21,Asphalt fumes,45,F,45,45,100,Josefine Villeneuve
Debroah Ellzey,3147842845601,LA,HAX1,Weill-Marchesani-Like Syndrome Weill-Marchesani Syndrome,8p21.1,Metals toxic,45,F,45,45,100,Juliann Burling
Dannie Pantano,0653853874665,ER,DPM1,Hyperargininemia,11q13.1,,45,M,45,45,45,Hai Sholes
Irena Fabrizio,6284471650258,VG,EGID-100505381,Sporadic Breast Cancer,3p21.2,Solvents,45,F,45,45,100,Dominica Eldred
Genaro Stang,7376470781344,IO,ITGA4,Colonic Pseudo-Obstruction,5p15.33,,45,M,45,45,45,Adolph Kerwin
Diamond Verge,6837330846065,PS,CTRCT35,Cannabis Dependence,19p13.3,Formaldehyde,45,F,45,45,100,Reggie Conry
Beatrice Brice,1732835516168,BZ,ADAM22,Autoimmune Thyroid Disease 2,19p13.2,,45,M,45,45,100,Richie Regina
Bryant Kujawa,6434555116515,OM,ENSG00000236560,Spindle Cell Hemangioma,1p36.11,,45,M,45,45,100,Johanna Cournoyer
Delmer Rippe,8414072244048,DM,GIN1,Colon Cancer,12q13.13,,45,F,45,45,100,Francisco Papadopoulos
Constance Massengale,4700588704054,LK,FBXW9,Herpangina,Xq21.2,,45,F,45,45,100,Denisha Snelgrove
Genie Kolman,3237346838574,KR,AZGP1,Lung Cancer,5p13,,45,M,45,45,45,Taina Saxton
Rosalie Sellers,4040606510477,PH,ABCC10,Acute Lymphoblastic Leukemia,9p24.3,,45,M,45,45,45,Lauryn Deputy
Yung Fitts,2206207112533,CM,EXPH5,Basal Encephalocele,17q21.2,13-Butadiene,45,M,45,45,100,Zora Estes
Cassi Wieder,3377611228854,YE,GHRL,Dubin-Johnson Syndrome,17p13.2,Metals toxic,45,F,45,45,100,Pamila Campfield
Gena Wooding,2451273545545,MF,LDLR,Fetal Alcohol Syndrome,12q24.31,Hydrogen sulfide,45,F,45,45,100,Deb Klar
Donald Silvia,3846184080014,LB,DEFB127,Hemolytic Uremic Syndrome,1q21.2,Beryllium,45,F,45,45,100,Vicenta Brummett
Cinthia Lichtman,5317586366121,ID,KMT2D,Congenital Central Hypoventilation Syndrome,11p15.5,,45,M,45,45,100,Merrilee Girton
Shalanda Stutz,3341204300556,SJ,DUOXA1,12,7q22.1,,45,M,45,45,45,Margene Jung
Lashawnda Reaux,5577177332100,CU,CHDS2,Bscl2-Related Neurologic Disorders/seipinopathy,3q13.33,Formaldehyde,45,M,45,45,100,Lilla Schreffler
Gena Wooding,6111726046532,WS,GCGR,Hermansky-Pudlak Syndrome Show all 4,5q31.1,13-Butadiene,45,F,45,45,100,Fabiola Hust
Tiana WillertRashad Bull,6646785174841,SD,APC2,Human T-Cell Leukemia Virus Type 1,HSCHR6_MHC_DBBp22.1,Lead,45,M,45,45,100,Skye Verdin
Ami Lampkin,4753535536703,VU,DNASE1L1,Alzheimer Disease 17 Alzheimers Disease,11q23,,45,F,45,45,100,Luisa Spainhour
Theodore Kincer,6603716160266,GG,BTS1,Acad9 Deficiency,Xq28,,45,M,45,45,100,Lien Linder
Nancey Hieb,4606453068355,NP,COL1A1,Spondylolisthesis,3p21.31,Metals toxic,45,M,45,45,100,Wilma Terrones
Jack Hungerford,7605512175337,RU,IS4,Cataract 33,7q11.23,Solvents,45,M,45,45,100,Jacquiline Brite
Amparo Hamp,7684280185156,PS,BCS1L,Bile Duct Adenoma,11p14.2-q12.3,,45,F,45,45,100,Dale Mccorkle
Willy Horne,2458628508034,NI,CD27,Pre-Eclampsia,7q11.23,,45,F,45,45,100,Claire Urias
Zelda Hadaway,5504801756673,TJ,KIAA0319L,Erythrocytosis Due To Bisphosphoglycerate Mutase Deficiency,7q34,Diesel exhaust,45,F,45,45,100,Winter Weisser
Marta Mccammon,5004657217755,MO,BRD2,Esophageal Squamous Cell Carcinoma,1p34.1,,45,F,45,45,100,Delmer Rippe
Francisco Papadopoulos,8301001016125,UM,ENSG00000206478,Bbs7-Related Bardet-Biedl Syndrome,10q24.32,,45,M,45,45,100,Cordie Frederic
